time_s,x_true_m,y_true_m,heading_true_rad,x_gps_m,y_gps_m,steering_angle_rad
0.0,0.0,0.0,0.0,0.15235853987721568,-0.5199920531202478,0.0
0.1,1.0,0.0,0.0,1.3752255979032286,0.47028235819560693,0.0
0.2,2.0,0.0,0.0,1.0244824056730817,-0.651089753431159,0.0
0.30000000000000004,3.0,0.0,0.0,3.0639202015836426,-0.1581212961717911,0.0
0.4,4.0,0.0,0.0,3.9915994212478556,-0.42652196378679,0.0
0.5,5.0,0.0,0.0,5.439698987431414,0.38889596771447416,0.0
0.6000000000000001,6.0,0.0,0.0,6.033015348780608,0.5636206034840164,0.0
0.7000000000000001,7.0,0.0,0.0,7.2337546711260226,-0.4296462314416191,0.0
0.8,8.0,0.0,0.0,8.18437539204125,-0.47944130041449945,0.0
0.9,9.0,0.0,0.0,9.439225150653636,-0.024962955493126448,0.0
1.0,10.0,0.0,0.0,9.90756881822737,-0.3404647722019707,0.0
1.1,11.0,0.0,0.0,11.611270669337015,-0.07726474103440108,0.0
1.2000000000000002,12.0,0.0,0.0,11.785836088918446,-0.1760667752441148,0.0
1.3,13.0,0.0,0.0,13.266154592776674,0.18272203218203917,0.0
1.4000000000000001,14.0,0.0,0.0,14.206366305797994,0.21541050150394137,0.0
1.5,15.0,0.0,0.0,16.07082380043523,-0.2032075081923078,0.0
1.6,16.0,0.0,0.0,15.743878635464231,-0.40688636412393886,0.0
1.7000000000000002,17.0,0.0,0.0,17.307989711287746,0.5644861463604458,0.0
1.8,18.0,0.0,0.0,17.943026271172563,-0.420078238481264,0.0
1.9000000000000001,19.0,0.0,0.0,18.587759392154382,0.32529639391235055,0.0
2.0,20.0,0.0,0.0,20.37162708560172,0.2715771341525975,0.0
2.1,21.0,0.0,0.0,20.667245146355654,0.11608066153335989,0.0
2.2,22.0,0.0,0.0,22.058342904570363,0.10934429836450647,0.0
2.3000000000000003,23.0,0.0,0.0,23.435714388974095,0.11179777438734113,0.0
2.4000000000000004,24.0,0.0,0.0,24.339456781535947,0.03378953474444573,0.0
2.5,25.0,0.0,0.0,25.144559699344992,0.3156441129192702,0.0
2.6,26.0,0.0,0.0,25.271422090072168,-0.15983560817865067,0.0
2.7,27.0,0.0,0.0,26.764813672853602,-0.31943892412167096,0.0
2.8000000000000003,28.0,0.0,0.0,27.86242887438666,0.7474706556171979,0.0
2.9000000000000004,29.0,0.0,0.0,28.56708444215338,0.4841391772957404,0.0
3.0,30.0,0.0,0.0,29.158565114192097,-0.16744251499288743,0.0
3.1,31.0,0.0,0.07053079228338621,31.081376532552504,0.2931111656796391,0.17453292519943295
3.2,31.997513734606148,0.07047232983302382,0.14106158456677242,32.35312702450258,0.46714594743298643,0.17453292519943295
3.3000000000000003,32.98758103606196,0.21106656366929558,0.21159237685015864,32.81321849993774,-0.020109332662988005,0.17453292519943295
3.4000000000000004,33.96527876422905,0.42108359235249093,0.28212316913354485,34.39426670485762,0.3254314299116835,0.17453292519943295
3.5,34.92574528705303,0.6994790997415407,0.35265396141693106,34.28790212538407,0.13283549273980033,0.17453292519943295
3.6,35.86420465517861,1.0448687556047944,0.4231847537003173,35.4044785121778,1.2934491276316764,0.17453292519943295
3.7,36.77599035050478,1.455535099244718,0.4937155459837035,36.84720321854006,1.8007777762786021,0.17453292519943295
3.8000000000000003,37.65656849058973,1.9294360796240886,0.5642463382670897,37.44294216742146,2.0087059251624457,0.17453292519943295
3.9000000000000004,38.50156037352092,2.464215209527647,0.6347771305504759,38.81435557050459,2.309541939667528,0.17453292519943295
4.0,39.306764251145104,3.0572132832673264,0.7053079228338621,39.53515186992381,2.7262503127340008,0.17453292519943295
4.1000000000000005,40.06817622239043,3.705481599664408,0.7758387151172483,39.886649299107894,3.5146126526652437,0.17453292519943295
4.2,40.78201014278775,4.405796624556915,0.8463695074006345,40.184090319993224,4.649282864949706,0.17453292519943295
4.3,41.44471645119058,5.154676019922477,0.9169002996840208,41.21001528108922,5.160923079286321,0.17453292519943295
4.4,42.05299982007718,5.948395959911364,0.987431091967407,42.29337314953014,6.171661547926337,0.17453292519943295
4.5,42.603835541668126,6.783009647685166,1.0579618842507932,42.93652809615452,6.733766905430454,0.17453292519943295
4.6000000000000005,43.094484568378824,7.6543669409855895,1.1284926765341794,42.88283541235675,7.61450783553239,0.17453292519943295
4.7,43.52250713281801,8.558134988844609,1.1990234688175656,42.678839915839,7.834578752633065,0.17453292519943295
4.800000000000001,43.88577487960618,9.489819776819303,1.2695542611009518,43.22442507342898,8.991196363018561,0.17453292519943295
4.9,44.18248144868824,10.444788473617033,1.340085053384338,44.38236856204996,9.992048945937002,0.17453292519943295
5.0,44.41115145751452,11.418292467991678,1.4106158456677242,44.222070180494825,12.067906616884711,0.17453292519943295
5.1000000000000005,44.57064783742591,12.405490981359259,1.4811466379511105,44.3925158518952,12.774248765592802,0.17453292519943295
5.2,44.660177487762766,13.401475138718482,1.5516774302344967,44.19336864775783,13.298756359784667,0.17453292519943295
5.300000000000001,44.67929521958238,14.401292378182811,1.6222082225178829,44.20428419212709,14.23177584023253,0.17453292519943295
5.4,44.62790596937469,15.399971077746937,1.692739014801269,45.04806003810339,14.536310866150762,0.17453292519943295
5.5,44.506265271768505,16.39254527683025,1.7632698070846553,44.72347709354143,16.51141307799639,0.17453292519943295
5.6000000000000005,44.31497798887772,17.37407936966873,1.8338005993680415,44.017903011029325,16.651050442474503,0.17453292519943295
5.7,44.054995302605796,18.33969264776656,1.9043313916514277,44.09106005646273,18.07494629323466,0.17453292519943295
5.800000000000001,43.72760998486449,19.28458356936938,1.974862183934814,43.84394809054184,19.2955096421311,0.17453292519943295
5.9,43.33444996922572,20.204053635278502,2.0453929762182,44.13533941488618,20.08437582154199,0.17453292519943295
6.0,42.877470255971744,21.093530752282817,2.1159237685015864,42.36572150966081,21.183168569760976,0.17453292519943295
6.1000000000000005,42.35894319079606,21.948591968033067,2.0597074346206297,42.46894153278195,22.628185755653284,-0.13962634015954636
6.2,41.88927834678716,22.831436764303675,2.003491100739673,42.306833969744446,23.00987229387843,-0.13962634015954636
6.300000000000001,41.46995960372027,23.739275842396705,1.9472747668587163,42.20161104933005,23.14489431523528,-0.13962634015954636
6.4,41.102311775683894,24.669240935580387,1.8910584329777596,40.78243600930902,24.205952964877625,-0.13962634015954636
6.5,40.78749642540386,25.61839387121724,1.8348420990968028,40.59259152382597,24.930050797439087,-0.13962634015954636
6.6000000000000005,40.52650819435094,26.583735853756004,1.7786257652158461,40.84408366775814,26.472624505206618,-0.13962634015954636
6.7,40.32017166022682,27.562216939258246,1.7224094313348894,39.584768512975494,27.054427398654475,-0.13962634015954636
6.800000000000001,40.169138731757016,28.550745671525465,1.6661930974539327,40.325895655482114,28.969808955472654,-0.13962634015954636
6.9,40.073886589021775,29.546198849381835,1.609976763572976,41.07225203486767,31.0031300823855,-0.13962634015954636
7.0,40.03471617583232,30.54543139425343,1.5537604296920193,40.24192089247032,30.050662334237497,-0.13962634015954636
7.1000000000000005,40.05175124891573,31.545286286867874,1.4975440958110626,38.98572810855008,31.67914201803979,-0.13962634015954636
7.2,40.12493798691249,32.54260454167994,1.441327761930106,39.71846743925733,32.3349259115901,-0.13962634015954636
7.300000000000001,40.25404516042209,33.53423518750951,1.3851114280491492,39.94799676089218,33.46383974430132,-0.13962634015954636
7.4,40.43866486255931,34.51704522285854,1.3288950941681925,40.97165497795313,34.595569506581214,-0.13962634015954636
7.5,40.678213797713234,35.4879295144539,1.2726787602872358,40.59889637919389,34.970102638041,-0.13962634015954636
7.6000000000000005,40.97193512443706,36.44382060774204,1.216462426406279,40.13459365208488,36.200666653205374,-0.13962634015954636
7.7,41.31890084664626,37.38169841833991,1.1602460925253224,41.292009571237095,38.26566337512985,-0.13962634015954636
7.800000000000001,41.718014745570244,38.29859977382244,1.1040297586443657,41.783152006306686,38.789969529333966,-0.13962634015954636
7.9,42.16801584319419,39.1916277756999,1.047813424763409,41.918368043924616,38.59915589249139,-0.13962634015954636
8.0,42.66748238624847,40.057960952006454,0.9915970908824523,42.18492400513229,39.69534791973858,-0.13962634015954636
8.1,43.21483633815849,40.894862171582865,0.9353807570014956,44.27907120437607,40.48416883197067,-0.13962634015954636
8.200000000000001,43.80834836476289,41.6996872918891,0.8791644231205389,44.227592966631065,41.248223702845586,-0.13962634015954636
8.3,44.446143298047986,42.46989351302462,0.8229480892395822,44.911929804485105,42.662368996077554,-0.13962634015954636
8.4,45.12620606063609,43.20304741156232,0.7667317553586255,45.04788711180705,43.182666148494604,-0.13962634015954636
8.5,45.8463880323097,43.89683262881354,0.7105154214776688,45.518994184595,44.11986872955458,-0.13962634015954636
8.6,46.604413838456686,44.54905718923365,0.6542990875967121,46.37692209828629,43.936254307350026,-0.13962634015954636
8.700000000000001,47.397888538989044,45.157660425846046,0.5980827537157554,46.75891975182923,45.24395438470711,-0.13962634015954636
8.8,48.22430519502194,45.72071949080407,0.5418664198347987,49.01385082322716,45.80071529759079,-0.13962634015954636
8.9,49.08105278940676,46.23645543052112,0.48565008595384196,49.02173362635182,46.37936850032239,-0.13962634015954636
9.0,49.96542447609359,46.70323880617485,0.42943375207288526,50.618425346947,46.81293005685678,-0.13962634015954636
9.1,50.87462613225971,47.119594841827954,0.42943375207288526,50.669162516842846,47.6727391968579,0.0
9.200000000000001,51.78382778842584,47.535950877481056,0.42943375207288526,51.99820600765665,48.303828873479056,0.0
