time_s,x_m,y_m,heading_rad,steering_angle_rad,cross_track_error_m,goal_distance_m,lookahead_x_m,lookahead_y_m
0.0,0.0,0.0,0.0,0.5235987755982988,0.0,80.37929462102089,3.007518796992481,4.112460154878055
0.1,1.0,0.0,0.23094010767585038,0.5235987755982988,0.8305956065744767,79.38407273359611,3.408521303258145,4.595365909905621
0.2,1.973451641352811,0.22889277390848028,0.46188021535170076,0.5235987755982988,1.4888694377852494,78.39295364490518,4.010025062656641,5.274343669525204
0.30000000000000004,2.8686678374577737,0.6745248668184962,0.6928203230275511,0.5220720098995951,1.9635615957991484,77.45970939020685,4.4110275689223055,5.693322256463329
0.4,3.638115547032954,1.3132346774755026,0.922946872166384,0.35236010481766356,2.209746069736772,76.63685823428722,5.213032581453634,6.440787554375615
0.5,4.241588540314099,2.110618114963575,1.0700290260996148,0.16217963948336114,2.214237807594029,75.97170138478803,6.015037593984962,7.054972401949657
0.6000000000000001,4.7216873074311625,2.987832555002427,1.1354756884051076,-0.025983186071879102,2.0408533246995955,75.43192803656169,7.017543859649122,7.616200291804369
0.7000000000000001,5.1433884644805525,3.8945674303343543,1.1250800744214366,-0.16942350441903611,1.7676434648191268,74.9583897233835,8.020050125313283,7.931411995504774
0.8,5.574492731341384,4.796869547750902,1.0566547151445214,-0.2788836087415053,1.4582015969522228,74.48604876899442,9.022556390977442,7.990425640436648
0.9,6.066280349878298,5.667584735544127,0.942116311029559,-0.4071946920347659,1.1442390812083567,73.96444846652234,10.225563909774436,7.720964966378828
1.0,6.654358011307572,6.476389201486221,0.7695963050944266,-0.45115962374623897,0.8344506040019681,73.35757369183182,11.027568922305765,7.3405709973414925
1.1,7.372549648661508,7.172234566517039,0.575801872791744,-0.5235987755982988,0.549308928988927,72.63015840709942,12.030075187969924,6.652694116410335
1.2000000000000002,8.211305595006744,7.71674210776005,0.3448617651158936,-0.5235987755982988,0.2473226992766903,71.78874201817885,12.832080200501252,5.9463626844063
1.3,9.152427789200141,8.054808692320849,0.11392165744004323,-0.5235987755982988,0.10947180009718924,70.84803250524611,13.43358395989975,5.334964832570417
1.4000000000000001,10.14594573215715,8.168484094332335,-0.11701845023580715,-0.5235987755982988,0.3960481890183629,69.85502919279705,14.035087719298245,4.661421454654681
1.5,11.13910688253369,8.05173252311058,-0.34795855791165753,-0.49184251189555506,0.6775856267972106,68.86135535175349,14.63659147869674,3.9335784707113923
1.6,12.079177643500458,7.710753103826419,-0.5622614336926421,-0.40883316330486547,0.8795997705878251,67.9208802356566,15.238095238095237,3.15991432184751
1.7000000000000002,12.925229346707425,7.1776522545487325,-0.7355592936955917,-0.3016959089451189,0.9785106688079702,67.07765244417543,15.639097744360901,2.6231136550631344
1.8,13.666684928934986,6.506650302551878,-0.8600374598373066,-0.22118694957975088,0.987280110195054,66.34591133094436,16.240601503759397,1.7933242285707571
1.9000000000000001,14.319094007982171,5.748783299986914,-0.949983882538159,-0.14761432871601446,0.9318851287446135,65.71290996700343,16.842105263157894,0.9426448653845326
2.0,14.90079020756386,4.935377170558189,-1.009462253937687,-0.08935735253701488,0.8387823240676905,65.16218133101901,17.24310776942356,0.3688067213148975
2.1,15.433106232506852,4.088831454374537,-1.0453006324360277,-0.04259572827630691,0.7225593112042518,64.67342779386816,17.844611528822053,-0.49460050428072166
2.2,15.934748111782291,3.223756067511054,-1.0623492359670457,-0.0068024120592918725,0.5960783897993162,64.22844564599055,18.44611528822055,-1.3522462657425542
2.3000000000000003,16.42156947763289,2.3502545175688936,-1.0650702427604353,0.01916352930743214,0.4717427995608943,63.811521436799666,19.047619047619047,-2.194140085399443
2.4000000000000004,16.906012240583106,1.4754315586651159,-1.0574038925488152,0.03724109336676289,0.36218056736345616,63.410126658899884,19.64912280701754,-3.01047497558268
2.5,17.39714740102475,0.6043481790865812,-1.0425005647613519,0.0496699531191242,0.28143913450876057,63.014968535166155,20.250626566416038,-3.791741677506152
2.6,17.901209580231914,-0.2593191871447267,-1.022616228580171,0.05864056259752215,0.24199305282722863,62.61951055407066,20.852130325814535,-4.528839431985224
2.7,18.42234443353841,-1.1127935363018744,-0.9991330800788605,0.06608000858323612,0.18241143775588542,62.219251634471384,21.453634085213032,-5.213181991657078
2.8000000000000003,18.963376024242837,-1.9537958061322447,-0.972662536953679,0.07356131809812373,0.12228812420794877,61.810959782554306,22.05513784461153,-5.83679763979549
2.9000000000000004,19.526477265571692,-2.780183724735792,-0.9431848199189266,0.09483103796206228,0.08680442476181112,61.39197860189389,22.857142857142854,-6.561378036775641
3.0,20.113690376696386,-3.5896160950566594,-0.9051382864155917,0.11738119400366057,0.08329501214727139,60.95966124071197,23.659147869674186,-7.15018258147097
3.1,20.731267198808283,-4.376126660014417,-0.8579689711965668,0.1428703605809137,0.1183426103214632,60.50641870600079,24.46115288220551,-7.591027028676081
3.2,21.385242520310562,-5.132642541451146,-0.8004287909373522,0.21745492274915518,0.10565987502019174,60.024396050810886,25.664160401002505,-7.955798118955406
3.3000000000000003,22.081641569827696,-5.850297307917332,-0.7120493548107114,0.2434667281740573,0.029743713448961175,59.50505117929592,26.466165413533833,-7.99397715683265
3.4000000000000004,22.838666015574375,-6.503683861606593,-0.6126916848647834,0.33934563281959274,0.06058062002640313,58.92365380119124,27.669172932330824,-7.741771645053861
3.5,23.656769087368197,-7.078755477947997,-0.4714913647384753,0.3675402491732736,0.07146670359643587,58.274521648375526,28.471177944862156,-7.3723921189012325
3.6,24.547660965678354,-7.532970912693451,-0.3174769396465176,0.4016296586734742,0.10418330532831499,57.53298372753436,29.27318295739348,-6.850454270744997
3.7,25.497687032000623,-7.845141496362437,-0.14759073493898844,0.4333649038961921,0.08261537214119627,56.703214427840784,30.075187969924812,-6.1867586604333855
3.8000000000000003,26.486815275971495,-7.992196985818286,0.0374892605206103,0.4525110989157331,0.020726452362493705,55.79458943731976,30.877192982456137,-5.395039268334976
3.9000000000000004,27.48611263594356,-7.954716506194066,0.23195161158793987,0.4184332407658842,0.14644712768365595,54.82610041793702,31.478696741854634,-4.72699929685913
4.0,28.4593322534109,-7.724839199404718,0.4098294696971321,0.37533401770942915,0.30957163490140926,53.82790315287864,32.08020050125313,-4.003895821255026
4.1000000000000005,29.376521037861398,-7.326386274107114,0.5674344287806763,0.3231549086079885,0.44981381856372477,52.83490075154147,32.68170426065163,-3.2341520734111198
4.2,30.219803705198007,-6.788915955885117,0.7013922122681917,0.26477507807810896,0.5464270577870995,51.87376586791777,33.283208020050125,-2.4267345848150157
4.3,30.983748263775194,-6.1436340706440165,0.8098486451011739,0.19547504470171242,0.6096348526573828,50.960786719192726,33.68421052631579,-1.8721562544237003
