time_s,x_true_m,y_true_m,heading_true_rad,x_meas_m,y_meas_m,heading_meas_rad,x_kf_m,y_kf_m,heading_kf_rad,x_ekf_m,y_ekf_m,heading_ekf_rad,steering_angle_rad,goal_distance_m
0.0,0.0,0.0,0.0,0.47028235819560693,-0.9755175943269182,-0.11363659923371783,0.6056149339260849,-0.944230832043987,-0.09188155598170011,0.6101620601138997,-0.9479701818503949,-0.09026072420808262,0.5235987755982988,80.37929462102089
0.1,1.0,0.0,0.23094010767585038,1.0639202015836426,-0.1581212961717911,0.22947393009287032,1.3580657638795732,-0.5969767863621734,0.1832353369817885,1.3603237721892762,-0.6050400237116849,0.19405608986656553,0.5235987755982988,79.38407273359611
0.2,1.973451641352811,0.22889277390848028,0.46188021535170076,1.5469296775660208,0.6685917613398946,0.5297553661951722,2.088774307105373,0.0020281189226607488,0.4578181550318283,2.07311504532267,-0.007014612404136034,0.4778541279222437,0.5235987755982988,78.39295364490518
0.30000000000000004,2.8686678374577737,0.6745248668184962,0.6928203230275511,2.901683186238382,1.2381454703025128,0.7336182095582071,3.038047678322827,0.7062791689694924,0.6980944030462299,2.938918452755258,0.6859538097563519,0.7245118375657817,0.5220720098995951,77.45970939020685
0.4,3.638115547032954,1.3132346774755026,0.922946872166384,3.208469315591335,1.497610069516752,0.8392685795436212,3.841187878226431,1.428619304127711,0.8400603137026685,3.5759613917329762,1.381361714326902,0.8644099025279077,0.35236010481766356,76.63685823428722
0.5,4.241588540314099,2.110618114963575,1.0700290260996148,4.680813690967736,2.085655159470449,1.0538967415651967,4.8063707706761205,2.2746228352976035,0.9516881617089066,4.30206027910893,2.1550947726421206,0.967013629570534,0.16217963948336114,75.97170138478803
0.6000000000000001,4.7216873074311625,2.987832555002427,1.1354756884051076,4.381222535229192,3.5991032243394425,1.1219904471375965,5.514902547825197,3.375228896705196,1.0034846277753715,4.714075463488454,3.157956078410319,1.0180134085920303,-0.025983186071879102,75.43192803656169
0.7000000000000001,5.1433884644805525,3.8945674303343543,1.1250800744214366,4.929224553398999,3.7185006550902395,1.1715328140540135,6.203354949697153,4.3100944999563815,1.0043898908811464,5.116171292744396,3.998110729625492,1.0216191158685248,-0.16942350441903611,74.9583897233835
0.8,5.574492731341384,4.796869547750902,1.0566547151445214,5.757214763523423,5.003235853548896,1.0942509400906815,6.926780722680204,5.315013950622609,0.9539512598997684,5.607101568210171,4.91672485418485,0.9668451108297305,-0.2788836087415053,74.48604876899442
0.9,6.066280349878298,5.667584735544127,0.942116311029559,7.137104150313529,5.464377227351819,0.8974147000710611,7.778465863562839,6.127278332282651,0.8164225063988857,6.351510664080477,5.689712046509871,0.8170970174495786,-0.4071946920347659,73.96444846652234
